(other),0
Istanbul,1
Ashburn,10
Helsinki,100
Gebze,101
Riga,102
Chisinau,103
Bishkek,104
Atlanta,105
San Jose,106
Birmingham,107
Eindhoven,108
Panama City,109
Antalya,11
Manama,110
Bangkok,111
Casablanca,112
Islamabad,113
Iskenderun,114
Minsk,115
Montreal,116
Yangon,117
Athens,118
Lyon,119
Bursa,12
Cairo,120
Tunis,121
Aydin,122
Sakarya,123
Nairobi,124
San Francisco,125
Gothenburg,126
Belgrade,127
Canakkale,128
The Hague,129
Frankfurt,13
Dammam,130
Sharjah,131
Dusseldorf,132
Miami,133
Valencia,134
Salina,135
Sarajevo,136
Cape Town,137
Sivas,138
Dortmund,139
Paris,14
Zagreb,140
Essen,141
Mexico City,142
Douala,143
Rize,144
Seattle,145
Edinburgh,146
Jakarta,147
Tekirdag,148
Mardin,149
Kahramanmaras,15
Manchester,150
Ljubljana,151
Colombo,152
Washington,153
Marmaris,154
Sydney,155
Sao Paulo,156
Yaounde,157
Hanover,158
Porto,159
,16
Ordu,160
Haarlem,161
Turin,162
Sumqayit,163
Vancouver,164
Boston,165
Nuremberg,166
Nizhny Novgorod,167
Kazan,168
Yalikavak,169
New York,17
Giresun,170
Strasbourg,171
Marseille,172
Kuwait City,173
Chattogram,174
Accra,175
Berlin,18
Konya,19
(not set),2
Vienna,20
Baku,21
Samsun,22
Mersin,23
Milan,24
Kayseri,25
Dubai,26
Dublin,27
Van,28
Erzurum,29
Ankara,3
Bucharest,30
Saint Petersburg,31
Dhaka,32
Sanliurfa,33
Tbilisi,34
Clarksville,35
Riyadh,36
Hamburg,37
Munich,38
Amsterdam,39
Izmir,4
Tel Aviv-Yafo,40
Cologne,41
Malatya,42
Madrid,43
Tashkent,44
Jeddah,45
Beirut,46
Karachi,47
Hagerstown,48
Los Angeles,49
Diyarbakir,5
Doha,50
Bodrum,51
Kyiv,52
Zurich,53
Lisbon,54
Stuttgart,55
Lahore,56
Rome,57
Arnavutkoy,58
Warsaw,59
Adana,6
Nicosia,60
Antwerp,61
Bogota,62
Singapore,63
Rotterdam,64
Eskisehir,65
Budapest,66
Stockholm,67
Toronto,68
Chicago,69
London,7
Sofia,70
Prague,71
Houston,72
Denizli,73
Barcelona,74
Baghdad,75
Corlu,76
Dallas,77
Brussels,78
Mumbai,79
Moscow,8
Bowling Green,80
Fethiye,81
Caracas,82
Kiziltepe,83
Lagos,84
Tehran,85
Almaty,86
Vilnius,87
Kuala Lumpur,88
Balikesir,89
Gaziantep,9
Copenhagen,90
Abu Dhabi,91
Ulaanbaatar,92
Oslo Municipality,93
Antakya,94
Elazig,95
Trabzon,96
Tallinn,97
Batman,98
Seoul,99
