(other),0
Istanbul,1
Diyarbakir,10
Pennsylvania,100
Cairo Governorate,101
Uusimaa,102
Budapest,103
Sofia City Province,104
Bogota,105
Occitanie,106
Balikesir,107
Saxony,108
Prague,109
Moscow,11
Andalusia,110
Ohio,111
Seoul,112
Attica,113
Vilnius County,114
Gauteng,115
Trabzon,116
Vastra Gotaland County,117
Bangkok,118
North Carolina,119
Hessen,12
Baghdad Governorate,120
State of Sao Paulo,121
Michigan,122
Casablanca-Settat,123
Capital District,124
Ulaanbaatar,125
Eastern Province,126
Tunis,127
Brandenburg,128
Aydin,129
Ile-de-France,13
Hauts-de-France,130
Valencian Community,131
Porto District,132
Emilia-Romagna,133
Sicily,134
Muscat Governorate,135
Riga,136
Capital Governorate,137
Islamabad Capital Territory,138
Elazig,139
Antalya,14
Piedmont,140
Western Cape,141
Harju County,142
Metro Manila,143
Canton of Bern,144
Sharjah,145
Sakarya,146
New South Wales,147
Thuringia,148
Veneto,149
Gaziantep,15
Campania,150
Mecklenburg-Vorpommern,151
Chittagong Division,152
Batman,153
Delhi,154
Chuy Region,155
Kentucky,156
Oregon,157
Vaud,158
Federation of Bosnia and Herzegovina,159
Bavaria,16
Erbil Governorate,160
Nairobi County,161
Indiana,162
Chisinau,163
Al Asimah Governate,164
Lower Austria,165
Gelderland,166
Nizhny Novgorod Oblast,167
South Carolina,168
Mexico City,169
Texas,17
Minsk Region,170
Jakarta,171
Wallonia,172
City of Zagreb,173
Algiers Province,174
Tashkent Region,175
Selangor,176
Utrecht,177
Ljubljana,178
Tuscany,179
Baden-Wurttemberg,18
District of Columbia,180
Centre-Val de Loire,181
Pays de la Loire,182
Bali,183
Canakkale,184
Wisconsin,185
Geneva,186
Republic of Tatarstan,187
Victoria,188
Famagusta,189
New York,19
Greater Accra Region,190
Nevsehir,191
Haifa District,192
Missouri,193
Viken,194
Gyeonggi-do,195
Bourgogne-Franche-Comte,196
Rize,197
Federal Capital Territory,198
Skane County,199
(not set),2
Bursa,20
Manisa,200
Chuy Province,201
Central Denmark Region,202
Buenos Aires,203
Brittany,204
Al Madinah Province,205
Jerusalem District,206
Nevada,207
South District,208
Krasnodar Krai,209
Mugla,21
Ordu,210
Sivas,211
Sverdlovsk Oblast,212
Minnesota,213
Yangon Region,214
Giresun,215
Setubal,216
Kansas,217
Colorado,218
Saxony-Anhalt,219
Lombardy,22
Podgorica Municipality,220
Arizona,221
Al Ahmadi Governorate,222
Styria,223
Wales,224
Alexandria Governorate,225
North District,226
Adiyaman,227
Giza Governorate,228
Decentralized Administration of Macedonia and Thrace,229
Florida,23
Connecticut,230
Sirnak,231
Bremen,232
County Cork,233
Cluj County,234
Apulia,235
Alberta,236
Basra Governorate,237
Liguria,238
Northern Ireland,239
Kahramanmaras,24
Western Province,240
Gujarat,241
Dakar Region,242
Lower Silesian Voivodeship,243
Uttar Pradesh,244
Adjara,245
Alabama,246
Buenos Aires Province,247
Aseer Province,248
Taipei City,249
North Holland,25
Odessa Oblast,250
Lesser Poland Voivodeship,251
Basque Country,252
Vestland,253
Haryana,254
Canary Islands,255
Agri,256
Kirklareli,257
Oklahoma,258
Erzincan,259
Berlin,26
Antioquia,260
Iowa,261
Varna,262
Basel City,263
Normandy,264
Guangdong Province,265
Silesian Voivodeship,266
Marrakesh-Safi,267
Kastamonu,268
Addis Ababa,269
Ontario,27
Edirne,270
Osmaniye,271
Kharkiv Oblast,272
Sardinia,273
Carabobo,274
Khyber Pakhtunkhwa,275
Saarland,276
Bolu,277
Oran Province,278
Upper Austria,279
Konya,28
Quintana Roo,280
Bratislava Region,281
Tokat,282
Central Region,283
South Governorate,284
Northern Governorate,285
Tyrol,286
Pristina District,287
Tamil Nadu,288
Community of Madrid,289
Vienna,29
Kars,290
Rabat-Sale-Kenitra,291
Decentralized Administration of Attica,292
Samara Oblast,293
Pest County,294
Telangana,295
Central Bohemian Region,296
Yalova,297
Isparta,298
Rajshahi Division,299
Ankara,3
Punjab,30
Ho Chi Minh City,300
Queensland,301
Khulna Division,302
Fribourg,303
Overijssel,304
KwaZulu-Natal,305
Valais,306
Al Farwaniyah Governorate,307
Karnataka,308
Louisiana,309
Dubai,31
Lviv Oblast,310
Aargau,311
Balearic Islands,312
Maine,313
Banaadir,314
South Moravian Region,315
Taiwan,316
Busan,317
Tver Oblast,318
Greater Poland Voivodeship,319
South Holland,32
Region of Southern Denmark,320
Corum,321
West Virginia,322
Shanghai,323
Canton of Zug,324
Tripoli District,325
Timis County,326
Lucerne,327
Galicia,328
Western Australia,329
County Dublin,33
Zonguldak,330
Plaines Wilhems District,331
Dnipropetrovsk Oblast,332
Rivers,333
Nineveh Governorate,334
New Hampshire,335
Castile and Leon,336
Arkansas,337
Rostov Oblast,338
Jalisco,339
Saint Petersburg,34
Salzburg,340
Zulia,341
East Azerbaijan,342
Afyonkarahisar,343
Central Visayas,344
Kabul,345
Calabarzon,346
Limburg,347
Constantine Province,348
