(other),0
Istanbul,1
Moscow,10
Scotland,100
Nouvelle-Aquitaine,101
Tokyo,102
Rhineland-Palatinate,103
Lagos,104
Trabzon,105
Gauteng,106
Schleswig-Holstein,107
Abu Dhabi,108
Tehran,109
Virginia,11
Almaty Province,110
Pennsylvania,111
Vilnius County,112
Uusimaa,113
Federal Territory of Kuala Lumpur,114
Cairo Governorate,115
Occitanie,116
Aydin,117
Ulaanbaatar,118
Oslo,119
Gaziantep,12
Harju County,120
Elazig,121
Saxony,122
Vastra Gotaland County,123
Ohio,124
Attica,125
Porto District,126
Batman,127
Seoul,128
Riga,129
Antalya,13
Capital Governorate,130
Minsk Region,131
Eastern Province,132
Valencian Community,133
Casablanca-Settat,134
South Carolina,135
State of Sao Paulo,136
Chisinau,137
Sakarya,138
Bangkok,139
Ile-de-France,14
Yangon Region,140
North Carolina,141
Islamabad Capital Territory,142
Kansas,143
Muscat Governorate,144
Michigan,145
Tunis,146
Hauts-de-France,147
Erbil Governorate,148
Emilia-Romagna,149
Hessen,15
Federation of Bosnia and Herzegovina,150
Al Asimah Governate,151
Brandenburg,152
Canakkale,153
Nairobi County,154
Chuy Region,155
Canton of Bern,156
New South Wales,157
Sicily,158
Piedmont,159
Bursa,16
Western Cape,160
Veneto,161
Sharjah,162
Bavaria,17
Baden-Wurttemberg,18
Texas,19
(not set),2
New York,20
Kahramanmaras,21
Mugla,22
Lombardy,23
Florida,24
Berlin,25
Konya,26
North Holland,27
Vienna,28
Ontario,29
Ankara,3
Dhaka Division,30
Mersin,31
Punjab,32
Samsun,33
Saint Petersburg,34
Kayseri,35
South Holland,36
Flanders,37
Dubai,38
Kocaeli,39
Izmir,4
Tennessee,40
Sanliurfa,41
Maryland,42
Erzurum,43
County Dublin,44
Van,45
Bucharest,46
Lower Saxony,47
Tbilisi,48
Tekirdag,49
England,5
Auvergne-Rhone-Alpes,50
Riyadh Province,51
Illinois,52
Tel Aviv District,53
Madrid,54
Hamburg,55
Zurich,56
,57
Lisbon,58
Georgia,59
Diyarbakir,6
Makkah Province,60
Malatya,61
Sindh,62
Beirut Governorate,63
Amman Governorate,64
Lazio,65
Stockholm County,66
Nicosia,67
Catalonia,68
Mardin,69
Adana,7
Doha,70
Masovian Voivodeship,71
Kyiv city,72
Washington,73
Maharashtra,74
New Jersey,75
Quebec,76
Brussels,77
Bogota,78
Hatay,79
California,8
Eskisehir,80
Grand Est,81
Budapest,82
Center District,83
Kentucky,84
Sofia City Province,85
Capital Region of Denmark,86
Moscow Oblast,87
Denizli,88
Prague,89
North Rhine-Westphalia,9
British Columbia,90
Hawalli Governorate,91
Massachusetts,92
Balikesir,93
North Brabant,94
Baghdad Governorate,95
Chittagong Division,96
Provence-Alpes-Cote d'Azur,97
Andalusia,98
Capital District,99
